row ID,label
17185,1
17186,0
17187,1
17188,1
17189,1
17190,1
17191,0
17192,0
17193,0
17194,0
17195,0
17196,0
17197,0
17198,1
17199,1
17200,0
17201,1
17202,0
17203,0
17204,0
17205,1
17206,0
17207,0
17208,0
17209,0
17210,1
17211,0
17212,1
17213,1
17214,0
17215,0
17216,0
17217,0
17218,0
17219,0
17220,0
17221,0
17222,1
17223,1
17224,0
17225,0
17226,1
17227,0
17228,0
17229,1
17230,1
17231,0
17232,1
17233,1
17234,0
17235,0
17236,0
17237,1
17238,1
17239,0
17240,0
17241,0
17242,0
17243,0
17244,0
17245,0
17246,0
17247,0
17248,0
17249,0
17250,0
17251,1
17252,1
17253,0
17254,0
17255,0
17256,1
17257,0
17258,0
17259,0
17260,1
17261,1
17262,0
17263,0
17264,0
17265,0
17266,1
17267,1
17268,1
17269,0
17270,1
17271,0
17272,0
17273,1
17274,0
17275,0
17276,0
17277,0
17278,0
17279,0
17280,0
17281,0
17282,0
17283,1
17284,0
17285,1
17286,0
17287,0
17288,1
17289,0
17290,1
17291,1
17292,0
17293,0
17294,0
17295,0
17296,0
17297,0
17298,0
17299,0
17300,1
17301,0
17302,1
17303,0
17304,0
17305,0
17306,0
17307,0
17308,1
17309,0
17310,0
17311,0
17312,1
17313,0
17314,0
17315,0
17316,0
17317,0
17318,0
17319,1
17320,0
17321,0
17322,0
17323,0
17324,0
17325,1
17326,0
17327,0
17328,0
17329,0
17330,0
17331,0
17332,1
17333,0
17334,0
17335,1
17336,0
17337,0
17338,0
17339,0
17340,0
17341,1
17342,0
17343,0
17344,1
17345,0
17346,0
17347,0
17348,0
17349,1
17350,0
17351,1
17352,0
17353,0
17354,0
17355,0
17356,1
17357,0
17358,1
17359,1
17360,0
17361,0
17362,0
17363,0
17364,1
17365,1
17366,0
17367,0
17368,0
17369,0
17370,1
17371,0
17372,0
17373,0
17374,1
17375,0
17376,0
17377,0
17378,1
17379,1
17380,1
17381,0
17382,1
17383,0
17384,1
17385,1
17386,0
17387,0
17388,0
17389,0
17390,1
17391,0
17392,0
17393,0
17394,0
17395,0
17396,0
17397,0
17398,0
17399,0
17400,0
17401,0
17402,0
17403,0
17404,0
17405,0
17406,0
17407,0
17408,0
17409,0
17410,1
17411,1
17412,0
17413,0
17414,0
17415,0
17416,1
17417,0
17418,0
17419,1
17420,0
17421,0
17422,0
17423,1
17424,0
17425,0
17426,0
17427,1
17428,0
17429,0
17430,0
17431,1
17432,0
17433,0
17434,0
17435,0
17436,0
17437,0
17438,0
17439,0
17440,0
17441,1
17442,0
17443,0
17444,0
17445,1
17446,0
17447,0
17448,0
17449,0
17450,0
17451,0
17452,0
17453,0
17454,0
17455,0
17456,1
17457,0
17458,1
17459,0
17460,0
17461,0
17462,0
17463,0
17464,0
17465,0
17466,0
17467,0
17468,1
17469,0
17470,0
17471,0
17472,0
17473,1
17474,1
17475,0
17476,1
17477,0
17478,1
17479,0
17480,0
17481,1
17482,0
17483,0
17484,1
17485,0
17486,1
17487,1
17488,0
17489,0
17490,1
17491,0
17492,0
17493,0
17494,0
17495,0
17496,0
17497,1
17498,1
17499,0
17500,1
17501,0
17502,1
17503,0
17504,0
17505,0
17506,0
17507,1
17508,0
17509,0
17510,0
17511,0
17512,1
17513,0
17514,0
17515,0
17516,1
17517,0
17518,0
17519,0
17520,1
17521,1
17522,0
17523,1
17524,1
17525,1
17526,1
17527,0
17528,0
17529,0
17530,1
17531,0
17532,1
17533,0
17534,0
17535,0
17536,0
17537,0
17538,0
17539,1
17540,0
17541,0
17542,1
17543,0
17544,1
17545,1
17546,0
17547,0
17548,0
17549,0
17550,0
17551,1
17552,0
17553,1
17554,0
17555,0
17556,0
17557,1
17558,0
17559,0
17560,0
17561,0
17562,0
17563,0
17564,0
17565,0
17566,0
17567,0
17568,1
17569,0
17570,0
17571,0
17572,1
17573,0
17574,0
17575,0
17576,0
17577,0
17578,0
17579,1
17580,0
17581,0
17582,0
17583,0
17584,1
17585,1
17586,0
17587,0
17588,1
17589,0
17590,0
17591,0
17592,1
17593,0
17594,0
17595,1
17596,0
17597,0
17598,0
17599,1
17600,0
17601,0
