row ID,label
17185,0
17186,0
17187,0
17188,0
17189,1
17190,0
17191,1
17192,0
17193,1
17194,0
17195,0
17196,0
17197,1
17198,1
17199,0
17200,0
17201,0
17202,0
17203,0
17204,0
17205,0
17206,0
17207,0
17208,0
17209,0
17210,0
17211,1
17212,0
17213,0
17214,0
17215,1
17216,0
17217,0
17218,0
17219,0
17220,0
17221,1
17222,1
17223,0
17224,0
17225,0
17226,0
17227,0
17228,0
17229,0
17230,0
17231,1
17232,1
17233,0
17234,0
17235,1
17236,0
17237,0
17238,0
17239,1
17240,1
17241,0
17242,0
17243,1
17244,0
17245,1
17246,1
17247,1
17248,1
17249,1
17250,0
17251,0
17252,0
17253,0
17254,0
17255,0
17256,1
17257,1
17258,0
17259,0
17260,0
17261,0
17262,1
17263,0
17264,0
17265,0
17266,0
17267,1
17268,0
17269,1
17270,0
17271,0
17272,0
17273,0
17274,0
17275,0
17276,0
17277,0
17278,0
17279,0
17280,0
17281,0
17282,0
17283,0
17284,0
17285,0
17286,0
17287,0
17288,0
17289,1
17290,0
17291,0
17292,0
17293,1
17294,0
17295,0
17296,1
17297,0
17298,1
17299,0
17300,1
17301,1
17302,0
17303,0
17304,0
17305,0
17306,0
17307,0
17308,0
17309,0
17310,1
17311,0
17312,0
17313,1
17314,1
17315,1
17316,0
17317,0
17318,0
17319,0
17320,1
17321,1
17322,1
17323,1
17324,1
17325,1
17326,1
17327,1
17328,0
17329,0
17330,0
17331,1
17332,0
17333,1
17334,0
17335,0
17336,0
17337,0
17338,0
17339,0
17340,1
17341,0
17342,0
17343,0
17344,0
17345,0
17346,0
17347,1
17348,1
17349,1
17350,0
17351,0
17352,1
17353,0
17354,1
17355,1
17356,0
17357,1
17358,0
17359,0
17360,0
17361,0
17362,0
17363,0
17364,1
17365,0
17366,1
17367,0
17368,1
17369,0
17370,0
17371,0
17372,0
17373,1
17374,0
17375,0
17376,0
17377,0
17378,1
17379,1
17380,0
17381,1
17382,1
17383,1
17384,0
17385,0
17386,1
17387,1
17388,1
17389,1
17390,0
17391,0
17392,0
17393,1
17394,0
17395,0
17396,1
17397,0
17398,1
17399,0
17400,0
17401,0
17402,0
17403,0
17404,0
17405,0
17406,0
17407,0
17408,0
17409,0
17410,1
17411,1
17412,0
17413,0
17414,0
17415,1
17416,0
17417,0
17418,0
17419,0
17420,1
17421,1
17422,1
17423,0
17424,0
17425,0
17426,1
17427,0
17428,0
17429,0
17430,0
17431,1
17432,0
17433,0
17434,0
17435,0
17436,0
17437,0
17438,1
17439,1
17440,0
17441,0
17442,0
17443,1
17444,0
17445,1
17446,0
17447,0
17448,0
17449,0
17450,0
17451,0
17452,0
17453,0
17454,0
17455,0
17456,0
17457,1
17458,0
17459,1
17460,1
17461,0
17462,0
17463,0
17464,0
17465,0
17466,0
17467,0
17468,0
17469,0
17470,1
17471,0
17472,0
17473,0
17474,1
17475,0
17476,0
17477,1
17478,1
17479,0
17480,0
17481,1
17482,0
17483,1
17484,0
17485,0
17486,0
17487,0
17488,0
17489,0
17490,0
17491,0
17492,0
17493,0
17494,1
17495,1
17496,0
17497,0
17498,0
17499,0
17500,1
17501,0
17502,1
17503,1
17504,1
17505,0
17506,1
17507,0
17508,1
17509,0
17510,0
17511,0
17512,0
17513,0
17514,1
17515,0
17516,0
17517,0
17518,0
17519,0
17520,0
17521,0
17522,0
17523,0
17524,0
17525,0
17526,0
17527,0
17528,0
17529,0
17530,0
17531,0
17532,0
17533,1
17534,0
17535,1
17536,0
17537,0
17538,0
17539,0
17540,1
17541,0
17542,0
17543,0
17544,1
17545,0
17546,1
17547,0
17548,0
17549,0
17550,0
17551,0
17552,0
17553,1
17554,1
17555,1
17556,0
17557,0
17558,1
17559,0
17560,0
17561,0
17562,1
17563,0
17564,1
17565,1
17566,0
17567,0
17568,0
17569,0
17570,0
17571,0
17572,1
17573,0
17574,1
17575,1
17576,0
17577,0
17578,0
17579,0
17580,0
17581,1
17582,0
17583,0
17584,1
17585,0
17586,0
17587,0
17588,0
